"comparison_id","study_id","population_id","metric","modifier","n","later_minus_earlier","unit","early_sd","late_sd","assumed_r","assumed_sd_difference","assumed_se","ci_low","ci_high","data_status"
"Garaulet_OGTT","Garaulet_2022","Garaulet_2022_all","120-min glucose AUC",,845,23,"mg×h/dL",43.6033,43.6033,0.25,53.4029,1.8371,19.3941,26.6059,"graph_digitized"
"Garaulet_OGTT","Garaulet_2022","Garaulet_2022_all","120-min glucose AUC",,845,23,"mg×h/dL",43.6033,43.6033,0.5,43.6033,1.5,20.0558,25.9442,"graph_digitized"
"Garaulet_OGTT","Garaulet_2022","Garaulet_2022_all","120-min glucose AUC",,845,23,"mg×h/dL",43.6033,43.6033,0.75,30.8322,1.0607,20.9182,25.0818,"graph_digitized"
"Gibbs_low","Gibbs_2014","Gibbs_2014_all","glucose iAUC","low GI",10,167,"mmol/L·h (as printed)",82.2192,82.2192,0.25,100.6976,31.8434,94.9653,239.0347,"reported_table"
"Gibbs_low","Gibbs_2014","Gibbs_2014_all","glucose iAUC","low GI",10,167,"mmol/L·h (as printed)",82.2192,82.2192,0.5,82.2192,26,108.1839,225.8161,"reported_table"
"Gibbs_low","Gibbs_2014","Gibbs_2014_all","glucose iAUC","low GI",10,167,"mmol/L·h (as printed)",82.2192,82.2192,0.75,58.1378,18.3848,125.4107,208.5893,"reported_table"
"Gibbs_high","Gibbs_2014","Gibbs_2014_all","glucose iAUC","high GI",10,133,"mmol/L·h (as printed)",104.3552,139.1402,0.25,151.6245,47.9479,24.5343,241.4657,"reported_table"
"Gibbs_high","Gibbs_2014","Gibbs_2014_all","glucose iAUC","high GI",10,133,"mmol/L·h (as printed)",104.3552,139.1402,0.5,125.4193,39.6611,43.2804,222.7196,"reported_table"
"Gibbs_high","Gibbs_2014","Gibbs_2014_all","glucose iAUC","high GI",10,133,"mmol/L·h (as printed)",104.3552,139.1402,0.75,92.0326,29.1033,67.1638,198.8362,"reported_table"
"Haldar_high","Haldar_2020","Haldar_2020_all","test-meal glucose iAUC","high GI",34,284.41,"not explicitly printed; likely mmol/L×min",192.5,320.61,0.25,330.1338,56.6175,169.2209,399.5991,"reported_table"
"Haldar_high","Haldar_2020","Haldar_2020_all","test-meal glucose iAUC","high GI",34,284.41,"not explicitly printed; likely mmol/L×min",192.5,320.61,0.5,279.5167,47.9367,186.882,381.938,"reported_table"
"Haldar_high","Haldar_2020","Haldar_2020_all","test-meal glucose iAUC","high GI",34,284.41,"not explicitly printed; likely mmol/L×min",192.5,320.61,0.75,217.4187,37.287,208.549,360.271,"reported_table"
