condition_id,study_id,population_id,label,timing_level,clock_time,relative_to_sleep,meal_occasion,meal_or_challenge,energy,carbohydrate,modifier,cointervention,exposure_days,notes,provenance
Bandin_early,Bandin_2015,Bandin_2015_all,early lunch,earlier,13:00,,lunch,standardized mixed lunch,matched,matched,,standardized daily schedule,1 wk,,Bandin_2015; PDF pp2–3
Bandin_late,Bandin_2015,Bandin_2015_all,late lunch,later,16:30,,lunch,standardized mixed lunch,matched,matched,,standardized daily schedule,1 wk,,Bandin_2015; PDF pp2–3
Bo_morning,Bo_2015,Bo_2015_all,morning meal,earlier,08:00,,test meal,1168-kcal mixed meal,1168 kcal,39% energy,,matched laboratory day,1 d,30% protein; 31% fat,Bo_2015_primary; PDF pp2–3
Bo_evening,Bo_2015,Bo_2015_all,evening meal,later,20:00,,test meal,1168-kcal mixed meal,1168 kcal,39% energy,,matched laboratory day,1 d,30% protein; 31% fat,Bo_2015_primary; PDF pp2–3
Bravo_early,Bravo_Garcia_2024,Bravo_Garcia_2024_T2D,early breakfast,earlier,07:00,,breakfast,individually standardized mixed breakfast,~25% daily energy,~50% energy,nonexercise primary; postmeal walk secondary,otherwise matched,8,~30% fat; ~20% protein,Bravo_Garcia_2024; PDF pp3–4
Bravo_mid,Bravo_Garcia_2024,Bravo_Garcia_2024_T2D,mid breakfast,later,09:30,,breakfast,individually standardized mixed breakfast,~25% daily energy,~50% energy,nonexercise primary; postmeal walk secondary,otherwise matched,8,~30% fat; ~20% protein,Bravo_Garcia_2024; PDF pp3–4
Bravo_delayed,Bravo_Garcia_2024,Bravo_Garcia_2024_T2D,delayed breakfast,later,12:00,,breakfast,individually standardized mixed breakfast,~25% daily energy,~50% energy,nonexercise primary; postmeal walk secondary,otherwise matched,8,~30% fat; ~20% protein,Bravo_Garcia_2024; PDF pp3–4
Enomoto_5h,Enomoto_2026,Enomoto_2026_all,dinner 5 h before bedtime,earlier,,5 h before bedtime,dinner,standardized dinner,matched,matched,,matched schedule,4,,Enomoto_2026; PDF pp3–4
Enomoto_1h,Enomoto_2026,Enomoto_2026_all,dinner 1 h before bedtime,later,,1 h before bedtime,dinner,standardized dinner,matched,matched,,matched schedule,4,,Enomoto_2026; PDF pp3–4
Garaulet_early,Garaulet_2022,Garaulet_2022_all,early-evening OGTT,earlier,,4 h before bedtime,OGTT,75-g OGTT,,75 g,,matched,1,,Garaulet_2022; PDF pp2–3
Garaulet_late,Garaulet_2022,Garaulet_2022_all,late-evening OGTT,later,,1 h before bedtime,OGTT,75-g OGTT,,75 g,,matched,1,,Garaulet_2022; PDF pp2–3
Gibbs_low_AM,Gibbs_2014,Gibbs_2014_all,low GI AM,earlier,08:00,,test meal,low GI mixed meal,matched,matched,low GI,matched except fasting duration,1,Morning fast ~11.8 h; evening ~8.4 h,Gibbs_2014; PDF pp2–3
Gibbs_low_PM,Gibbs_2014,Gibbs_2014_all,low GI PM,later,20:00,,test meal,low GI mixed meal,matched,matched,low GI,matched except fasting duration,1,Morning fast ~11.8 h; evening ~8.4 h,Gibbs_2014; PDF pp2–3
Gibbs_high_AM,Gibbs_2014,Gibbs_2014_all,high GI AM,earlier,08:00,,test meal,high GI mixed meal,matched,matched,high GI,matched except fasting duration,1,Morning fast ~11.8 h; evening ~8.4 h,Gibbs_2014; PDF pp2–3
Gibbs_high_PM,Gibbs_2014,Gibbs_2014_all,high GI PM,later,20:00,,test meal,high GI mixed meal,matched,matched,high GI,matched except fasting duration,1,Morning fast ~11.8 h; evening ~8.4 h,Gibbs_2014; PDF pp2–3
Gu_routine,Gu_2020,Gu_2020_all,routine dinner,earlier,18:00,,dinner,standardized dinner,35% daily kcal,matched dinner,,10% snack at 22:00,1,,Gu_2020; PDF pp2–3
Gu_late,Gu_2020,Gu_2020_all,late dinner,later,22:00,,dinner,standardized dinner,35% daily kcal,matched dinner,,10% snack at 18:00,1,Dinner/snack timing swap,Gu_2020; PDF pp2–3
Haldar_high_breakfast,Haldar_2020,Haldar_2020_all,high GI breakfast,earlier,08:00,,breakfast,high GI mixed meal,matched,matched,high GI,standardized subsequent meal,1,,Haldar_2020_primary; PDF pp3–4
Haldar_high_dinner,Haldar_2020,Haldar_2020_all,high GI dinner,later,20:00,,dinner,high GI mixed meal,matched,matched,high GI,standardized subsequent meal,1,,Haldar_2020_primary; PDF pp3–4
Haldar_low_breakfast,Haldar_2020,Haldar_2020_all,low GI breakfast,earlier,08:00,,breakfast,low GI mixed meal,matched,matched,low GI,standardized subsequent meal,1,,Haldar_2020_primary; PDF pp3–4
Haldar_low_dinner,Haldar_2020,Haldar_2020_all,low GI dinner,later,20:00,,dinner,low GI mixed meal,matched,matched,low GI,standardized subsequent meal,1,,Haldar_2020_primary; PDF pp3–4
Jarrett_09,Jarrett_1972,Jarrett_1972_all,09:00 OGTT,earlier,09:00,,OGTT,50-g oral glucose,,50 g,,matched,1,,Jarrett_1972; PDF pp1–2
Jarrett_15,Jarrett_1972,Jarrett_1972_all,15:00 OGTT,later,15:00,,OGTT,50-g oral glucose,,50 g,,matched,1,,Jarrett_1972; PDF pp1–2
Jarrett_20,Jarrett_1972,Jarrett_1972_all,20:00 OGTT,later,20:00,,OGTT,50-g oral glucose,,50 g,,matched,1,,Jarrett_1972; PDF pp1–2
